open,high,low,close,volume,adjclose
357.7200012207031,360.75,352.2699890136719,358.1600036621094,452500,358.1600036621094
361.05999755859375,363.9800109863281,357.05999755859375,358.9599914550781,294800,358.9599914550781
364.0,365.69000244140625,362.2699890136719,363.6700134277344,346400,363.6700134277344
364.95001220703125,366.9599914550781,361.19000244140625,364.1499938964844,336600,364.1499938964844
363.1600036621094,368.3900146484375,360.989990234375,364.3500061035156,460300,364.3500061035156
366.45001220703125,369.239990234375,362.29998779296875,363.739990234375,355000,363.739990234375
364.6700134277344,371.7699890136719,364.6700134277344,371.5299987792969,444400,371.5299987792969
374.989990234375,386.80999755859375,374.75,384.4700012207031,692000,384.4700012207031
386.0,386.7799987792969,383.010009765625,386.3299865722656,379000,386.3299865722656
387.3900146484375,388.2099914550781,383.9200134277344,386.0299987792969,345400,386.0299987792969
387.8500061035156,389.8399963378906,385.6700134277344,386.3299865722656,294900,386.3299865722656
385.739990234375,385.739990234375,379.8800048828125,382.0299987792969,378500,382.0299987792969
382.5,386.5,380.5,383.1300048828125,282300,383.1300048828125
384.2099914550781,387.489990234375,383.2900085449219,386.2699890136719,340400,386.2699890136719
385.4200134277344,386.5799865722656,383.1400146484375,384.19000244140625,337700,384.19000244140625
383.0,383.29998779296875,374.44000244140625,379.1300048828125,560000,379.1300048828125
379.7900085449219,379.9700012207031,372.1300048828125,375.7699890136719,478100,375.7699890136719
375.989990234375,377.3999938964844,372.75,376.75,971600,376.75
399.04998779296875,410.1199951171875,395.0199890136719,408.9700012207031,2270100,408.9700012207031
405.32000732421875,407.989990234375,400.79998779296875,401.79998779296875,577700,401.79998779296875
401.3399963378906,404.8399963378906,396.489990234375,397.4100036621094,392200,397.4100036621094
396.75,402.8900146484375,396.75,400.1199951171875,452100,400.1199951171875
400.4100036621094,404.7200012207031,395.8699951171875,404.25,533000,404.25
402.8299865722656,407.69000244140625,402.8299865722656,405.8699951171875,339400,405.8699951171875
404.4599914550781,408.3500061035156,402.04998779296875,404.44000244140625,193300,404.44000244140625
406.2900085449219,409.739990234375,405.2699890136719,407.3800048828125,257200,407.3800048828125
407.8900146484375,414.8999938964844,406.70001220703125,412.2699890136719,483000,412.2699890136719
414.8999938964844,418.2300109863281,412.6300048828125,413.80999755859375,274700,413.80999755859375
414.6000061035156,414.739990234375,411.010009765625,412.0899963378906,246200,412.0899963378906
411.489990234375,413.0199890136719,410.44000244140625,412.29998779296875,199200,412.29998779296875
411.6099853515625,412.8900146484375,405.260009765625,405.8900146484375,320100,405.8900146484375
404.6499938964844,407.8900146484375,403.7799987792969,404.489990234375,208500,404.489990234375
404.9200134277344,411.2799987792969,404.9200134277344,407.8999938964844,196100,407.8999938964844
405.7900085449219,409.25,405.4700012207031,405.739990234375,231500,405.739990234375
403.5,407.57000732421875,401.739990234375,402.9700012207031,192900,402.9700012207031
401.94000244140625,406.9700012207031,400.1700134277344,406.3399963378906,169100,406.3399963378906
405.239990234375,406.19000244140625,402.0,404.6400146484375,101200,404.6400146484375
401.94000244140625,404.6700134277344,397.010009765625,401.4800109863281,269400,401.4800109863281
401.3299865722656,404.95001220703125,400.3399963378906,401.94000244140625,171200,401.94000244140625
401.6000061035156,407.260009765625,400.3699951171875,403.6000061035156,172200,403.6000061035156
407.3699951171875,412.20001220703125,405.6600036621094,407.54998779296875,273400,407.54998779296875
406.4599914550781,407.6099853515625,402.3399963378906,403.0,195900,403.0
405.70001220703125,408.8500061035156,402.55999755859375,407.04998779296875,259300,407.04998779296875
403.95001220703125,406.1700134277344,401.8800048828125,402.7900085449219,235000,402.7900085449219
405.0,405.0,401.04998779296875,402.0899963378906,208900,402.0899963378906
398.5299987792969,403.94000244140625,398.0,400.0799865722656,270900,400.0799865722656
401.5,408.1700134277344,401.5,403.04998779296875,271600,403.04998779296875
403.94000244140625,409.989990234375,403.94000244140625,406.7799987792969,314200,406.7799987792969
406.3299865722656,408.989990234375,405.510009765625,408.1700134277344,276600,408.1700134277344
410.25,412.7300109863281,403.3699951171875,404.8999938964844,250700,404.8999938964844
406.29998779296875,410.3699951171875,404.4800109863281,409.7099914550781,267700,409.7099914550781
409.1700134277344,412.3399963378906,408.0,408.7200012207031,174600,408.7200012207031
408.7799987792969,411.7699890136719,403.5299987792969,408.5199890136719,256400,408.5199890136719
408.5400085449219,412.67999267578125,408.0,411.70001220703125,220200,411.70001220703125
413.25,419.0,412.8699951171875,418.6400146484375,288600,418.6400146484375
416.8299865722656,423.489990234375,415.8500061035156,423.4800109863281,353700,423.4800109863281
420.29998779296875,425.0,420.1099853515625,421.6400146484375,220400,421.6400146484375
423.8500061035156,425.5,419.2900085449219,425.3399963378906,277900,425.3399963378906
427.5199890136719,427.5199890136719,421.0,423.4599914550781,342100,423.4599914550781
424.8599853515625,425.8699951171875,421.7200012207031,425.4100036621094,165000,425.4100036621094
425.3999938964844,427.5,423.1000061035156,426.2300109863281,303100,426.2300109863281
426.75,427.7200012207031,421.510009765625,421.70001220703125,250100,421.70001220703125
420.92999267578125,424.9100036621094,414.9599914550781,415.0799865722656,580800,415.0799865722656
415.3500061035156,418.54998779296875,412.3500061035156,415.239990234375,208000,415.239990234375
418.4200134277344,423.7799987792969,415.739990234375,418.760009765625,396200,418.760009765625
418.739990234375,419.3599853515625,415.0,415.5899963378906,152800,415.5899963378906
416.25,422.0,415.95001220703125,420.3399963378906,180200,420.3399963378906
417.989990234375,420.0,417.989990234375,419.0,124100,419.0
422.6400146484375,429.7799987792969,422.0,428.79998779296875,469700,428.79998779296875
