open,high,low,close,volume,adjclose
110.0,111.94000244140625,109.86000061035156,111.16999816894531,666800,111.16999816894531
111.4800033569336,112.0,110.88999938964844,111.33000183105469,642800,111.33000183105469
109.61000061035156,111.18000030517578,109.44000244140625,110.30999755859375,1084800,110.30999755859375
111.05000305175781,112.13999938964844,111.05000305175781,111.80000305175781,554200,111.80000305175781
111.33000183105469,113.62000274658203,111.30000305175781,112.62000274658203,1112900,112.62000274658203
113.02999877929688,115.0,112.72000122070312,114.7300033569336,866900,114.7300033569336
114.98999786376953,115.8499984741211,113.56999969482422,113.91000366210938,629500,113.91000366210938
113.30000305175781,114.91000366210938,112.93000030517578,114.55999755859375,310200,114.55999755859375
115.19999694824219,116.13999938964844,114.61000061035156,115.75,326500,115.75
116.47000122070312,117.5199966430664,116.2300033569336,117.37999725341797,551000,117.37999725341797
118.3499984741211,118.37000274658203,116.13999938964844,116.48999786376953,493700,116.48999786376953
116.25,116.83000183105469,115.58000183105469,116.4800033569336,601200,116.4800033569336
117.68000030517578,117.9800033569336,116.63999938964844,117.4000015258789,609600,117.4000015258789
117.62000274658203,118.01000213623047,116.62999725341797,116.94999694824219,648100,116.94999694824219
117.2300033569336,117.47000122070312,115.91000366210938,116.2300033569336,778400,116.2300033569336
116.61000061035156,117.0,116.0,116.20999908447266,589200,116.20999908447266
116.27999877929688,117.25,115.30000305175781,115.7699966430664,622200,115.7699966430664
116.26000213623047,118.3499984741211,115.01000213623047,117.02999877929688,586700,117.02999877929688
118.16999816894531,118.44999694824219,116.30999755859375,118.41999816894531,706400,118.41999816894531
120.25,120.3499984741211,118.11000061035156,119.61000061035156,908200,119.61000061035156
120.1500015258789,120.30000305175781,118.41999816894531,118.54000091552734,822200,118.54000091552734
118.94999694824219,119.9800033569336,117.08999633789062,117.83000183105469,595500,117.83000183105469
124.02999877929688,124.27999877929688,120.80000305175781,122.62999725341797,1866200,122.62999725341797
122.80000305175781,123.94999694824219,122.18000030517578,123.05999755859375,706100,123.05999755859375
123.38999938964844,123.69000244140625,122.63999938964844,123.56999969482422,378800,123.56999969482422
123.2300033569336,124.72000122070312,123.2300033569336,124.55999755859375,576200,124.55999755859375
124.97000122070312,126.13999938964844,124.55999755859375,125.30000305175781,740700,125.30000305175781
126.2300033569336,128.24000549316406,126.08999633789062,128.08999633789062,763900,128.08999633789062
127.44999694824219,128.00999450683594,126.66999816894531,127.80999755859375,625700,127.80999755859375
127.5,128.4499969482422,127.19999694824219,128.1999969482422,577400,128.1999969482422
127.61000061035156,128.2899932861328,126.4000015258789,127.19999694824219,730300,127.19999694824219
127.1500015258789,127.19999694824219,124.8499984741211,125.44999694824219,550000,125.44999694824219
125.91000366210938,126.19999694824219,123.58000183105469,125.61000061035156,894900,125.61000061035156
122.05999755859375,126.05000305175781,122.05999755859375,125.75,342100,125.75
125.27999877929688,127.23999786376953,125.06999969482422,126.95999908447266,669800,126.95999908447266
127.36000061035156,127.75,126.33999633789062,127.54000091552734,435000,127.54000091552734
127.47000122070312,127.70999908447266,126.18000030517578,126.38999938964844,451700,126.38999938964844
125.66000366210938,126.13999938964844,123.12000274658203,123.18000030517578,434100,123.18000030517578
122.83000183105469,124.11000061035156,122.80000305175781,123.13999938964844,578300,123.13999938964844
122.9000015258789,123.86000061035156,121.94000244140625,121.95999908447266,699000,121.95999908447266
122.26000213623047,123.69000244140625,122.26000213623047,123.58999633789062,563700,123.58999633789062
123.08000183105469,123.63999938964844,121.56999969482422,122.18000030517578,347000,122.18000030517578
122.58000183105469,123.62000274658203,121.51000213623047,122.33000183105469,431000,122.33000183105469
123.0,123.69999694824219,122.0,123.66000366210938,334200,123.66000366210938
123.33999633789062,124.4800033569336,123.27999877929688,123.94000244140625,393800,123.94000244140625
122.83000183105469,123.41000366210938,121.91000366210938,122.0199966430664,444600,122.0199966430664
121.79000091552734,122.62000274658203,121.41000366210938,121.97000122070312,479500,121.97000122070312
121.72000122070312,123.52999877929688,121.44000244140625,123.06999969482422,428600,123.06999969482422
123.4000015258789,123.88999938964844,121.5,122.70999908447266,677000,122.70999908447266
123.97000122070312,124.73999786376953,122.25,122.94999694824219,455600,122.94999694824219
122.9000015258789,124.33999633789062,121.61000061035156,123.80000305175781,562200,123.80000305175781
123.66999816894531,124.4800033569336,123.05000305175781,123.5,323700,123.5
124.30000305175781,124.30000305175781,122.05999755859375,122.3499984741211,430300,122.3499984741211
122.36000061035156,124.04000091552734,122.36000061035156,123.76000213623047,370400,123.76000213623047
124.62000274658203,126.30000305175781,124.05000305175781,125.33999633789062,581500,125.33999633789062
125.58999633789062,126.70999908447266,125.33000183105469,126.22000122070312,509500,126.22000122070312
125.58000183105469,126.29000091552734,125.0199966430664,125.75,490800,125.75
125.55999755859375,126.02999877929688,124.54000091552734,125.83000183105469,443200,125.83000183105469
127.04000091552734,127.25,124.86000061035156,125.18000030517578,455100,125.18000030517578
124.38999938964844,126.01000213623047,124.38999938964844,125.37999725341797,515800,125.37999725341797
125.27999877929688,127.1500015258789,124.83999633789062,126.94999694824219,608600,126.94999694824219
127.08000183105469,127.5,126.0999984741211,126.63999938964844,697100,126.63999938964844
126.93000030517578,127.70999908447266,124.9800033569336,125.73999786376953,1308500,125.73999786376953
125.01000213623047,125.48999786376953,123.9000015258789,124.83999633789062,566900,124.83999633789062
125.26000213623047,125.26000213623047,123.62000274658203,124.0999984741211,738300,124.0999984741211
124.36000061035156,125.77999877929688,123.87000274658203,125.02999877929688,828000,125.02999877929688
