open,high,low,close,volume,adjclose,dividends,splits
138.83384704589844,139.0139923095703,136.6720733642578,137.69290161132812,8120136,113.44013214111328,0.0,0.0
139.13409423828125,139.61448669433594,137.75296020507812,138.77378845214844,6089852,114.33062744140625,0.0,0.0
140.69537353515625,140.7554168701172,138.2333526611328,139.61448669433594,5417504,115.02328491210938,0.0,0.0
140.5752716064453,140.99562072753906,139.67453002929688,140.0348358154297,5140431,115.36955261230469,0.0,0.0
140.0348358154297,140.7554168701172,139.07403564453125,139.25418090820312,7647590,114.72642517089844,0.0,0.0
139.37428283691406,141.95640563964844,139.25418090820312,140.15492248535156,5959243,115.46849060058594,0.0,0.0
139.73458862304688,140.15492248535156,137.3926544189453,137.51275634765625,7922032,113.29173278808594,0.0,0.0
137.09242248535156,137.99314880371094,136.6720733642578,137.57281494140625,3571819,113.34120178222656,0.0,0.0
139.13409423828125,139.55442810058594,137.81300354003906,139.55442810058594,3778383,114.97377014160156,0.0,0.0
140.2750244140625,141.29586791992188,139.73458862304688,140.0348358154297,5908668,115.36955261230469,0.0,0.0
141.23580932617188,142.9171905517578,141.17576599121094,141.8363037109375,5252589,116.85372161865234,0.0,0.0
142.43679809570312,142.49684143066406,140.2750244140625,141.3559112548828,4738961,116.45793914794922,0.0,0.0
143.57772827148438,143.8779754638672,141.8963623046875,143.75787353515625,5431942,118.43684387207031,0.0,0.0
144.05812072753906,144.11817932128906,141.65615844726562,142.677001953125,5538405,117.54637908935547,0.0,0.0
142.49684143066406,142.55690002441406,141.47601318359375,141.8963623046875,5970683,116.90318298339844,0.0,0.0
142.07650756835938,142.1365509033203,140.15492248535156,140.69537353515625,6360180,115.91372680664062,0.0,0.0
141.3559112548828,141.77626037597656,140.69537353515625,141.3559112548828,4472746,116.45793914794922,0.0,0.0
141.71620178222656,143.75787353515625,141.47601318359375,141.8963623046875,6900703,116.90318298339844,0.0,0.0
145.37921142578125,149.82286071777344,144.7186737060547,148.4417266845703,17270643,122.29572296142578,0.0,0.0
148.74197387695312,149.6427001953125,148.50177001953125,149.28240966796875,6921120,122.98828125,0.0,0.0
149.34246826171875,149.4025115966797,147.90127563476562,148.3816680908203,5421051,122.2462158203125,0.0,0.0
148.862060546875,149.1623077392578,147.48092651367188,147.8412322998047,4577077,121.80097961425781,0.0,0.0
147.7811737060547,148.26158142089844,147.24073791503906,148.26158142089844,4987857,122.14729309082031,0.0,0.0
148.02137756347656,148.0814208984375,147.12063598632812,148.02137756347656,5181614,121.9493637084961,0.0,0.0
147.30078125,147.72113037109375,146.8804473876953,147.0605926513672,4261270,121.15784454345703,0.0,0.0
147.54098510742188,147.96133422851562,146.5201416015625,147.0005340576172,5195986,121.10836791992188,0.0,0.0
147.54098510742188,148.26158142089844,146.2799530029297,146.33999633789062,6487159,120.56417083740234,0.0,0.0
147.72113037109375,149.34246826171875,147.24073791503906,147.8412322998047,5318585,121.80097961425781,0.0,0.0
147.24073791503906,148.32162475585938,146.5201416015625,148.32162475585938,4283385,122.19673919677734,0.0,0.0
147.54098510742188,147.72113037109375,147.0605926513672,147.24073791503906,2992811,121.30621337890625,0.0,0.0
147.0605926513672,147.12063598632812,145.61941528320312,145.97970581054688,3815452,120.26734161376953,0.0,0.0
145.37921142578125,146.15985107421875,144.6586151123047,146.15985107421875,4658111,120.41576385498047,0.0,0.0
146.94049072265625,147.36083984375,145.4392547607422,146.0998077392578,3725692,120.36627960205078,0.0,0.0
146.15985107421875,146.76034545898438,145.37921142578125,145.61941528320312,3457746,119.97048950195312,0.0,0.0
144.9588623046875,145.91964721679688,144.4784698486328,145.739501953125,4557243,120.0694351196289,0.0,0.0
145.91964721679688,145.91964721679688,144.7186737060547,145.3191680908203,4751717,119.72309875488281,0.0,0.0
145.3191680908203,145.85960388183594,144.41842651367188,144.5385284423828,4660142,119.07997131347656,0.0,0.0
143.9380340576172,145.67945861816406,143.63778686523438,144.11817932128906,6654922,118.73365020751953,0.0,0.0
143.3975830078125,144.41842651367188,143.27748107910156,143.81793212890625,6047620,118.48634338378906,0.0,0.0
143.51768493652344,143.8779754638672,142.677001953125,143.21743774414062,5365430,117.9916000366211,0.0,0.0
142.73704528808594,143.21743774414062,141.8963623046875,142.43679809570312,5071088,117.34844207763672,0.0,0.0
142.43679809570312,142.85714721679688,141.47601318359375,141.77626037597656,5311807,116.80426025390625,0.0,0.0
142.07650756835938,142.9171905517578,141.77626037597656,142.79708862304688,5167925,117.64530944824219,0.0,0.0
143.0973358154297,143.21743774414062,141.95640563964844,142.79708862304688,3445572,117.64530944824219,0.0,0.0
142.55690002441406,142.85714721679688,141.47601318359375,141.77626037597656,4321270,116.80426025390625,0.0,0.0
140.2750244140625,140.45516967773438,138.77378845214844,139.1941375732422,8558460,114.67694091796875,0.0,0.0
139.07403564453125,140.51522827148438,139.07403564453125,139.31423950195312,4806489,114.77588653564453,0.0,0.0
139.07403564453125,139.91473388671875,138.65370178222656,138.77378845214844,3681079,114.33062744140625,0.0,0.0
140.7554168701172,141.11570739746094,138.35345458984375,138.95394897460938,7706276,114.47904205322266,0.0,0.0
139.9747772216797,140.8154754638672,137.6328582763672,138.47354125976562,8667853,114.08330535888672,0.0,0.0
138.05320739746094,139.1941375732422,137.87306213378906,139.13409423828125,5267311,114.62748718261719,0.0,0.0
140.15492248535156,140.21498107910156,138.65370178222656,139.07403564453125,5046242,114.57797241210938,0.0,0.0
139.0139923095703,140.39512634277344,137.87306213378906,139.07403564453125,6116897,114.57797241210938,0.0,0.0
