open,high,low,close,volume,adjclose,dividends
148.4600067138672,152.85000610351562,146.66000366210938,149.1999969482422,1137200,102.52980041503906,0.0
150.19000244140625,151.94000244140625,148.1300048828125,150.8000030517578,836300,103.62932586669922,0.0
151.86000061035156,152.5,150.91000366210938,151.5500030517578,789700,104.14470672607422,0.0
152.49000549316406,154.35000610351562,151.47000122070312,154.10000610351562,702100,105.89708709716797,0.0
153.14999389648438,154.8000030517578,151.61000061035156,153.3300018310547,955200,105.36795806884766,0.0
153.6300048828125,154.08999633789062,151.27000427246094,151.77000427246094,685100,104.29591369628906,0.0
151.57000732421875,155.2100067138672,151.52000427246094,154.67999267578125,770400,106.2956314086914,0.0
153.8000030517578,154.1999969482422,150.52999877929688,153.25999450683594,675600,105.31981658935547,0.0
153.27000427246094,153.82000732421875,149.4600067138672,152.8699951171875,802000,105.05182647705078,0.0
152.99000549316406,154.55999755859375,152.6300048828125,152.86000061035156,573300,105.0449447631836,0.0
153.72000122070312,155.9199981689453,153.05999755859375,155.24000549316406,474000,106.68049621582031,0.0
154.99000549316406,156.25,153.77000427246094,155.25999450683594,460700,106.69417572021484,0.0
156.86000061035156,159.6999969482422,156.75999450683594,159.3699951171875,490900,109.51860046386719,0.0
159.4600067138672,160.24000549316406,157.5800018310547,159.0800018310547,485300,109.3193130493164,0.0
159.0,160.2100067138672,158.44000244140625,159.7100067138672,255000,109.75221252441406,0.0
159.86000061035156,161.3000030517578,159.6699981689453,160.33999633789062,477700,110.18516540527344,0.0
160.82000732421875,162.80999755859375,160.44000244140625,161.6999969482422,516700,111.11978149414062,0.0
161.6999969482422,163.1300048828125,161.39999389648438,162.9499969482422,515900,111.9787826538086,0.0
162.8300018310547,163.22999572753906,161.42999267578125,162.5399932861328,487800,111.697021484375,0.0
162.63999938964844,163.74000549316406,161.83999633789062,163.3699951171875,344700,112.26740264892578,0.0
163.67999267578125,163.67999267578125,162.11000061035156,162.94000244140625,307600,111.97187805175781,0.0
162.85000610351562,163.72999572753906,158.0399932861328,159.1199951171875,803000,109.3468017578125,0.0
158.6699981689453,160.5,157.4499969482422,159.9499969482422,696100,109.91716003417969,0.0
159.6199951171875,161.02999877929688,158.36000061035156,161.0,252600,110.63873291015625,0.0
160.4499969482422,160.57000732421875,159.0,159.58999633789062,232800,109.66976928710938,0.0
160.66000366210938,161.22000122070312,158.80999755859375,159.5399932861328,363300,109.63542938232422,0.0
159.47000122070312,161.14999389648438,158.10000610351562,159.22000122070312,916000,109.4155044555664,0.0
159.8300018310547,162.05999755859375,158.80999755859375,161.27999877929688,868000,110.83113861083984,0.0
161.07000732421875,162.38999938964844,160.0,160.72999572753906,691000,110.45317077636719,0.0
160.25999450683594,162.52000427246094,160.25,162.17999267578125,461800,111.44957733154297,0.0
161.9600067138672,162.72999572753906,161.36000061035156,162.1699981689453,338200,111.44275665283203,0.0
161.89999389648438,162.99000549316406,160.91000366210938,162.6699981689453,611600,111.78633880615234,0.0
162.97000122070312,163.44000244140625,160.52000427246094,161.47000122070312,491400,110.9616928100586,0.0
161.27999877929688,164.25999450683594,161.2100067138672,163.14999389648438,545200,112.11618041992188,0.0
162.66000366210938,163.02999877929688,160.63999938964844,161.8800048828125,293100,111.24348449707031,0.0
162.52999877929688,162.52999877929688,159.36000061035156,160.1699981689453,422000,110.0683822631836,0.0
160.3699951171875,160.6999969482422,159.1699981689453,159.57000732421875,279500,109.65605163574219,0.0
158.0,158.9499969482422,156.13999938964844,157.42999267578125,450000,108.1854476928711,0.0
156.77999877929688,157.36000061035156,153.83999633789062,153.9499969482422,681500,105.79397583007812,0.0
154.7899932861328,155.30999755859375,153.19000244140625,153.33999633789062,777500,105.37479400634766,0.0
153.35000610351562,156.97999572753906,153.35000610351562,156.41000366210938,682700,107.48448944091797,0.0
156.0500030517578,159.6699981689453,154.86000061035156,157.10000610351562,759600,107.95867156982422,0.0
157.49000549316406,157.7899932861328,155.3000030517578,157.32000732421875,520500,108.10980224609375,0.0
157.39999389648438,158.39999389648438,156.74000549316406,157.67999267578125,504200,108.35721588134766,0.0
157.77999877929688,158.3699951171875,155.10000610351562,155.42999267578125,516100,106.81106567382812,0.0
154.1300048828125,154.5,151.8000030517578,153.80999755859375,720700,105.6977310180664,0.0
153.75999450683594,153.88999938964844,151.85000610351562,152.64999389648438,589700,104.90062713623047,0.0
152.39999389648438,153.1199951171875,151.17999267578125,152.80999755859375,452300,105.01061248779297,0.0
153.24000549316406,153.75,152.11000061035156,152.6699981689453,633100,104.91438293457031,0.0
153.9199981689453,154.80999755859375,150.4600067138672,152.39999389648438,712500,104.72882843017578,0.0
152.4199981689453,153.75999450683594,151.66000366210938,152.5500030517578,854700,104.83190155029297,0.0
152.2899932861328,152.8000030517578,151.0500030517578,151.25999450683594,343200,103.9454116821289,0.0
153.05999755859375,154.82000732421875,152.1199951171875,153.02000427246094,538100,105.1549072265625,0.0
153.0500030517578,156.9199981689453,152.69000244140625,156.89999389648438,668700,107.82122802734375,0.0
157.4499969482422,158.0,156.22000122070312,157.8699951171875,494500,108.48783874511719,0.0
157.3300018310547,157.3300018310547,155.77999877929688,157.1300048828125,404800,108.84107971191406,1.25
157.14999389648438,158.0399932861328,155.33999633789062,155.94000244140625,529900,108.01680755615234,0.0
155.69000244140625,156.25999450683594,155.3000030517578,156.02999877929688,264700,108.07910919189453,0.0
158.72000122070312,158.91000366210938,156.7899932861328,157.60000610351562,492700,109.1666488647461,0.0
157.82000732421875,159.10000610351562,157.6999969482422,158.5399932861328,353200,109.8177490234375,0.0
