open,high,low,close,volume,adjclose
43.439998626708984,44.349998474121094,42.86000061035156,42.869998931884766,178100,42.869998931884766
43.16999816894531,43.369998931884766,42.5099983215332,43.13999938964844,140800,43.13999938964844
43.529998779296875,43.529998779296875,42.61000061035156,42.689998626708984,250700,42.689998626708984
43.0,43.369998931884766,42.630001068115234,43.209999084472656,322400,43.209999084472656
43.150001525878906,43.72999954223633,42.86000061035156,43.439998626708984,360500,43.439998626708984
43.619998931884766,44.31999969482422,43.41999816894531,43.9900016784668,177700,43.9900016784668
43.90999984741211,44.47999954223633,43.77000045776367,44.099998474121094,163500,44.099998474121094
44.029998779296875,44.41999816894531,43.689998626708984,44.130001068115234,127200,44.130001068115234
44.41999816894531,44.65999984741211,44.220001220703125,44.38999938964844,144400,44.38999938964844
44.470001220703125,44.619998931884766,44.13999938964844,44.29999923706055,180300,44.29999923706055
44.400001525878906,44.599998474121094,43.97999954223633,44.54999923706055,316500,44.54999923706055
44.45000076293945,45.0,44.439998626708984,44.75,136200,44.75
45.119998931884766,45.779998779296875,45.040000915527344,45.599998474121094,142900,45.599998474121094
45.5,46.16999816894531,45.25,46.04999923706055,126800,46.04999923706055
46.040000915527344,46.290000915527344,45.68000030517578,46.13999938964844,120700,46.13999938964844
46.25,46.27000045776367,45.91999816894531,46.119998931884766,106800,46.119998931884766
46.16999816894531,46.279998779296875,45.68000030517578,45.90999984741211,144400,45.90999984741211
45.9900016784668,46.470001220703125,45.790000915527344,46.40999984741211,120000,46.40999984741211
46.11000061035156,46.349998474121094,45.970001220703125,46.25,100100,46.25
46.18000030517578,46.380001068115234,45.86000061035156,46.310001373291016,71600,46.310001373291016
46.290000915527344,46.63999938964844,46.040000915527344,46.369998931884766,110000,46.369998931884766
46.4900016784668,46.72999954223633,46.13999938964844,46.31999969482422,92000,46.31999969482422
46.290000915527344,46.689998626708984,45.959999084472656,46.43000030517578,107000,46.43000030517578
46.209999084472656,46.41999816894531,45.68000030517578,46.13999938964844,94900,46.13999938964844
46.119998931884766,46.33000183105469,45.7599983215332,46.06999969482422,76600,46.06999969482422
46.2599983215332,46.779998779296875,45.880001068115234,46.220001220703125,118000,46.220001220703125
46.380001068115234,46.66999816894531,46.09000015258789,46.16999816894531,155000,46.16999816894531
46.52000045776367,48.369998931884766,46.16999816894531,47.849998474121094,390700,47.849998474121094
47.5,47.790000915527344,47.29999923706055,47.56999969482422,103000,47.56999969482422
47.380001068115234,48.13999938964844,47.380001068115234,48.119998931884766,103900,48.119998931884766
48.0,49.380001068115234,46.59000015258789,48.029998779296875,250200,48.029998779296875
47.540000915527344,47.75,47.31999969482422,47.5,183900,47.5
47.720001220703125,47.72999954223633,47.27000045776367,47.5,116500,47.5
47.220001220703125,47.880001068115234,47.220001220703125,47.5,91900,47.5
47.36000061035156,48.209999084472656,47.36000061035156,48.150001525878906,86200,48.150001525878906
48.06999969482422,48.540000915527344,47.790000915527344,48.27000045776367,104300,48.27000045776367
48.45000076293945,48.560001373291016,48.08000183105469,48.11000061035156,122000,48.11000061035156
47.54999923706055,47.7599983215332,47.16999816894531,47.459999084472656,123800,47.459999084472656
47.45000076293945,47.7599983215332,47.09000015258789,47.2599983215332,132900,47.2599983215332
47.15999984741211,47.689998626708984,46.75,47.06999969482422,205100,47.06999969482422
47.130001068115234,48.08000183105469,47.08000183105469,47.52000045776367,184500,47.52000045776367
47.5099983215332,47.95000076293945,47.220001220703125,47.22999954223633,170100,47.22999954223633
47.36000061035156,47.63999938964844,46.65999984741211,47.369998931884766,94400,47.369998931884766
47.400001525878906,47.61000061035156,46.90999984741211,47.33000183105469,127800,47.33000183105469
47.27000045776367,47.54999923706055,47.0,47.27000045776367,111100,47.27000045776367
46.75,47.04999923706055,46.560001373291016,46.630001068115234,132700,46.630001068115234
46.630001068115234,46.95000076293945,46.40999984741211,46.470001220703125,111500,46.470001220703125
46.16999816894531,47.0,46.0099983215332,46.79999923706055,110500,46.79999923706055
46.7400016784668,46.7400016784668,45.5099983215332,45.599998474121094,137900,45.599998474121094
46.09000015258789,46.380001068115234,44.58000183105469,45.79999923706055,565800,45.79999923706055
45.7599983215332,46.040000915527344,45.619998931884766,45.86000061035156,253200,45.86000061035156
45.93000030517578,46.150001525878906,45.630001068115234,45.93000030517578,139100,45.93000030517578
45.9900016784668,46.06999969482422,45.290000915527344,45.779998779296875,206700,45.779998779296875
45.880001068115234,46.5,45.810001373291016,46.369998931884766,101600,46.369998931884766
46.47999954223633,47.40999984741211,46.47999954223633,47.380001068115234,125800,47.380001068115234
46.72999954223633,46.75,45.13999938964844,45.72999954223633,384000,45.72999954223633
45.619998931884766,45.68000030517578,44.349998474121094,44.86000061035156,293000,44.86000061035156
45.040000915527344,45.27000045776367,44.099998474121094,44.689998626708984,353400,44.689998626708984
45.209999084472656,45.68000030517578,44.29999923706055,44.400001525878906,282400,44.400001525878906
44.52000045776367,44.88999938964844,44.36000061035156,44.61000061035156,230000,44.61000061035156
44.5099983215332,44.7400016784668,43.91999816894531,44.369998931884766,239600,44.369998931884766
44.380001068115234,44.7599983215332,44.34000015258789,44.560001373291016,154000,44.560001373291016
44.560001373291016,44.7400016784668,44.25,44.470001220703125,343700,44.470001220703125
44.459999084472656,44.709999084472656,44.2599983215332,44.5099983215332,185200,44.5099983215332
44.63999938964844,45.31999969482422,44.31999969482422,45.220001220703125,266100,45.220001220703125
45.16999816894531,45.810001373291016,44.93000030517578,45.59000015258789,280700,45.59000015258789
45.540000915527344,45.970001220703125,45.38999938964844,45.72999954223633,186300,45.72999954223633
