open,high,low,close,volume,adjclose,dividends
142.5399932861328,146.7100067138672,138.91000366210938,145.24000549316406,1894700,116.09036254882812,0.0
147.8000030517578,149.4199981689453,145.27999877929688,148.00999450683594,1208500,118.30441284179688,0.0
148.3800048828125,149.64999389648438,146.9499969482422,147.1699981689453,1112800,117.63302612304688,0.0
148.7899932861328,149.92999267578125,146.63999938964844,146.7100067138672,1102000,117.2653579711914,0.0
145.89999389648438,146.69000244140625,144.27000427246094,144.75,1495700,115.69872283935547,0.0
146.19000244140625,151.33999633789062,146.19000244140625,148.72999572753906,1233600,118.8799057006836,0.0
148.80999755859375,152.1999969482422,148.6999969482422,149.89999389648438,1637100,119.81509399414062,0.0
149.8000030517578,150.14999389648438,148.44000244140625,148.75,1014000,118.89591979980469,0.0
150.0399932861328,152.6199951171875,147.8300018310547,152.5500030517578,1327700,121.93327331542969,0.0
153.02000427246094,154.69000244140625,150.00999450683594,150.60000610351562,823400,120.37464904785156,0.0
151.8699951171875,154.74000549316406,149.8800048828125,153.49000549316406,1555600,122.6845932006836,0.0
154.02000427246094,155.61000061035156,151.02999877929688,152.0800018310547,1449800,121.55758666992188,0.0
154.88999938964844,157.17999267578125,152.16000366210938,153.4499969482422,1212600,122.65265655517578,0.0
152.61000061035156,154.42999267578125,151.75,153.42999267578125,854800,122.63663482666016,0.0
153.39999389648438,155.7100067138672,152.0800018310547,152.50999450683594,755200,121.90126037597656,0.0
153.19000244140625,154.3300018310547,150.64999389648438,152.58999633789062,641800,121.9651870727539,0.0
153.0500030517578,154.1199951171875,151.97000122070312,153.41000366210938,711400,122.62068176269531,0.0
153.9499969482422,156.47999572753906,153.61000061035156,156.22999572753906,835100,124.87468719482422,0.0
156.35000610351562,157.88999938964844,153.7100067138672,157.83999633789062,1143900,126.16150665283203,0.0
157.2100067138672,157.75,155.52999877929688,155.86000061035156,883000,124.57891845703125,0.0
156.19000244140625,156.64999389648438,154.86000061035156,155.10000610351562,791000,123.97148132324219,0.0
154.80999755859375,155.0,151.41000366210938,153.0,1109300,122.2929458618164,0.0
153.4499969482422,156.22999572753906,152.2100067138672,154.75999450683594,955000,123.69971466064453,0.0
153.38999938964844,154.91000366210938,153.10000610351562,154.77999877929688,854000,123.71569061279297,0.0
154.2899932861328,155.50999450683594,152.72999572753906,154.88999938964844,820000,123.80359649658203,0.0
154.6699981689453,156.0,152.0399932861328,153.3300018310547,874700,122.55670928955078,0.0
154.35000610351562,156.9199981689453,153.5500030517578,154.75999450683594,1368900,123.69971466064453,0.0
173.6999969482422,181.6199951171875,169.50999450683594,174.14999389648438,4219000,139.19813537597656,0.0
174.2100067138672,181.64999389648438,172.99000549316406,181.2100067138672,1944800,144.8411865234375,0.0
180.0,182.6699981689453,178.72999572753906,180.0800018310547,1439200,143.9379425048828,0.0
180.10000610351562,180.63999938964844,174.49000549316406,176.6699981689453,1395800,141.21240234375,0.0
176.19000244140625,177.66000366210938,174.47000122070312,175.6699981689453,838900,140.4130859375,0.0
179.47999572753906,179.47999572753906,174.3800048828125,176.35000610351562,981500,140.9565887451172,0.0
175.80999755859375,176.88999938964844,174.5399932861328,175.6199951171875,616300,140.37310791015625,0.0
175.3699951171875,176.83999633789062,172.5,174.19000244140625,1227800,139.23011779785156,0.0
174.55999755859375,174.82000732421875,171.25,174.05999755859375,926700,139.126220703125,0.0
174.22999572753906,175.0,169.82000732421875,169.9600067138672,931900,135.84906005859375,0.0
169.13999938964844,170.07000732421875,166.74000549316406,169.14999389648438,862300,135.2016143798828,0.0
168.32000732421875,172.5399932861328,167.6300048828125,170.2899932861328,859500,136.1128692626953,0.0
169.6199951171875,170.35000610351562,166.14999389648438,166.36000061035156,890300,132.9715576171875,0.0
166.75,171.11000061035156,166.17999267578125,167.63999938964844,909600,133.9946746826172,0.0
167.38999938964844,169.36000061035156,166.4600067138672,166.77999877929688,726500,133.3072509765625,0.0
168.0399932861328,171.25,167.19000244140625,170.33999633789062,420900,136.15277099609375,0.0
170.3000030517578,172.60000610351562,168.77000427246094,172.1999969482422,583300,137.63951110839844,0.0
172.4600067138672,175.80999755859375,171.72000122070312,172.9600067138672,927100,138.24697875976562,0.0
172.0,174.64999389648438,170.92999267578125,171.10000610351562,652400,136.76023864746094,0.0
171.35000610351562,178.66000366210938,171.35000610351562,176.77000427246094,1187500,141.2923126220703,0.0
176.38999938964844,176.49000549316406,173.08999633789062,173.77999877929688,912200,138.90237426757812,0.0
173.77999877929688,175.47000122070312,173.5,174.97000122070312,1077900,139.85354614257812,0.0
177.08999633789062,180.99000549316406,175.9199981689453,179.8000030517578,1405300,143.7141571044922,0.0
179.7100067138672,182.6999969482422,178.52000427246094,182.0,1044400,145.47267150878906,0.0
182.1699981689453,184.6999969482422,181.36000061035156,182.0,1076000,145.47267150878906,0.0
182.97000122070312,185.24000549316406,180.75999450683594,180.86000061035156,867300,144.5614776611328,0.0
181.88999938964844,183.10000610351562,181.0,182.2100067138672,635900,145.64051818847656,0.0
181.38999938964844,181.9199981689453,178.5800018310547,180.99000549316406,945300,144.6653289794922,0.0
180.86000061035156,186.42999267578125,180.10000610351562,186.36000061035156,997300,148.95758056640625,0.0
186.47000122070312,190.14999389648438,185.4600067138672,186.80999755859375,761000,149.31724548339844,0.0
186.80999755859375,187.80999755859375,183.83999633789062,184.8300018310547,678600,147.73471069335938,0.0
185.0,185.33999633789062,182.97000122070312,185.0,741000,147.87051391601562,0.0
183.47999572753906,185.00999450683594,182.07000732421875,184.60000610351562,880000,147.5508270263672,0.0
