open,high,low,close,volume,adjclose,splits
5.195000171661377,5.460000038146973,5.127500057220459,5.434999942779541,2725600,5.434999942779541,0.0
5.494999885559082,5.5,5.412499904632568,5.440000057220459,1734400,5.440000057220459,0.0
5.485000133514404,5.627500057220459,5.482500076293945,5.492499828338623,2544800,5.492499828338623,0.0
5.534999847412109,5.672500133514404,5.454999923706055,5.642499923706055,2290800,5.642499923706055,0.0
5.642499923706055,5.712500095367432,5.557499885559082,5.612500190734863,2774400,5.612500190734863,0.0
5.65500020980835,5.775000095367432,5.625,5.707499980926514,2410000,5.707499980926514,0.0
5.707499980926514,5.730000019073486,5.579999923706055,5.605000019073486,1956800,5.605000019073486,0.0
5.579999923706055,5.622499942779541,5.542500019073486,5.599999904632568,1072800,5.599999904632568,0.0
5.647500038146973,5.71999979019165,5.522500038146973,5.71999979019165,1006800,5.71999979019165,0.0
5.752500057220459,5.804999828338623,5.712500095367432,5.742499828338623,1420000,5.742499828338623,0.0
5.787499904632568,5.817500114440918,5.517499923706055,5.567500114440918,2561200,5.567500114440918,0.0
5.550000190734863,5.647500038146973,5.487500190734863,5.542500019073486,2384000,5.542500019073486,0.0
5.627500057220459,5.877500057220459,5.590000152587891,5.867499828338623,3258400,5.867499828338623,0.0
5.84250020980835,6.002500057220459,5.797500133514404,5.942500114440918,1832800,5.942500114440918,0.0
5.965000152587891,6.090000152587891,5.887499809265137,5.892499923706055,4969200,5.892499923706055,0.0
5.885000228881836,5.962500095367432,5.684999942779541,5.695000171661377,1502800,5.695000171661377,0.0
5.712500095367432,5.817500114440918,5.527500152587891,5.627500057220459,2233200,5.627500057220459,0.0
5.652500152587891,5.775000095367432,5.599999904632568,5.695000171661377,1666800,5.695000171661377,0.0
5.672500133514404,5.684999942779541,5.570000171661377,5.617499828338623,1140800,5.617499828338623,0.0
5.632500171661377,5.704999923706055,5.599999904632568,5.692500114440918,1687200,5.692500114440918,0.0
5.752500057220459,5.872499942779541,5.724999904632568,5.802499771118164,1692800,5.802499771118164,0.0
5.53000020980835,5.65500020980835,5.445000171661377,5.554999828338623,2710800,5.554999828338623,0.0
5.542500019073486,5.739999771118164,5.542500019073486,5.739999771118164,1787200,5.739999771118164,0.0
5.690000057220459,5.75,5.635000228881836,5.65500020980835,2053600,5.65500020980835,0.0
5.664999961853027,5.724999904632568,5.617499828338623,5.622499942779541,1707600,5.622499942779541,0.0
5.659999847412109,5.824999809265137,5.567500114440918,5.574999809265137,2066400,5.574999809265137,0.0
5.577499866485596,5.632500171661377,5.440000057220459,5.445000171661377,2222400,5.445000171661377,0.0
5.505000114440918,5.602499961853027,5.485000133514404,5.572500228881836,1568400,5.572500228881836,0.0
5.570000171661377,5.707499980926514,5.539999961853027,5.65500020980835,1795600,5.65500020980835,0.0
5.630000114440918,5.739999771118164,5.585000038146973,5.602499961853027,1149200,5.602499961853027,0.0
5.572500228881836,5.659999847412109,5.512499809265137,5.619999885559082,1724400,5.619999885559082,0.0
5.587500095367432,5.664999961853027,5.462500095367432,5.494999885559082,2178400,5.494999885559082,0.0
6.25,6.989999771118164,6.25,6.664999961853027,10311200,6.664999961853027,0.0
6.625,6.892499923706055,6.577499866485596,6.772500038146973,4629600,6.772500038146973,0.0
6.769999980926514,6.832499980926514,6.695000171661377,6.730000019073486,2250800,6.730000019073486,0.0
6.755000114440918,6.860000133514404,6.652500152587891,6.852499961853027,2489200,6.852499961853027,0.0
6.837500095367432,6.947500228881836,6.784999847412109,6.789999961853027,2458800,6.789999961853027,0.0
6.724999904632568,6.795000076293945,6.630000114440918,6.642499923706055,1668800,6.642499923706055,0.0
6.607500076293945,6.619999885559082,6.460000038146973,6.53000020980835,3366000,6.53000020980835,0.0
6.492499828338623,6.664999961853027,6.440000057220459,6.570000171661377,1610800,6.570000171661377,0.0
6.5625,6.727499961853027,6.534999847412109,6.684999942779541,842000,6.684999942779541,0.0
6.65500020980835,6.727499961853027,6.59499979019165,6.670000076293945,1262800,6.670000076293945,0.0
6.702499866485596,6.927499771118164,6.664999961853027,6.894999980926514,1541200,6.894999980926514,0.0
6.914999961853027,6.914999961853027,6.762499809265137,6.807499885559082,2790400,6.807499885559082,0.0
6.8125,7.042500019073486,6.804999828338623,6.925000190734863,4323200,6.925000190734863,0.0
6.857500076293945,6.869999885559082,6.567500114440918,6.602499961853027,2067200,6.602499961853027,0.0
6.59499979019165,6.762499809265137,6.565000057220459,6.6875,1704800,6.6875,0.0
6.652500152587891,6.875,6.652500152587891,6.784999847412109,1314400,6.784999847412109,0.0
6.764999866485596,6.832499980926514,6.715000152587891,6.762499809265137,1842000,6.762499809265137,0.0
6.78249979019165,6.860000133514404,6.607500076293945,6.695000171661377,1410000,6.695000171661377,0.0
6.684999942779541,6.747499942779541,6.602499961853027,6.667500019073486,1743600,6.667500019073486,0.0
6.652500152587891,6.795000076293945,6.652500152587891,6.742499828338623,976800,6.742499828338623,0.0
6.795000076293945,6.795000076293945,6.519999980926514,6.667500019073486,1275600,6.667500019073486,0.0
6.667500019073486,6.847499847412109,6.667500019073486,6.847499847412109,2295200,6.847499847412109,0.0
6.900000095367432,7.027500152587891,6.900000095367432,6.997499942779541,1739200,6.997499942779541,0.0
7.0,7.119999885559082,6.897500038146973,6.987500190734863,1313200,6.987500190734863,0.0
6.980000019073486,6.987500190734863,6.869999885559082,6.877500057220459,847600,6.877500057220459,0.0
6.997499942779541,7.002500057220459,6.835000038146973,6.835000038146973,2226400,6.835000038146973,0.0
