open,high,low,close,volume,adjclose,dividends,splits
185.45889282226562,186.3384246826172,182.92543029785156,185.0286865234375,4556585,123.11858367919922,0.0,0.0
186.72084045410156,186.988525390625,184.6558380126953,186.4053497314453,4023125,124.03459930419922,0.0,0.0
187.35182189941406,187.6003875732422,185.9464569091797,186.29063415527344,3472929,123.95830535888672,0.0,0.0
187.4282989501953,188.2409210205078,186.70172119140625,187.04588317871094,3675853,124.46087646484375,0.0,0.0
183.29827880859375,184.1873779296875,180.12428283691406,182.70555114746094,10518367,121.5727310180664,0.0,0.0
183.69981384277344,185.27725219726562,182.71510314941406,182.86807250976562,4646750,121.68087005615234,0.0,0.0
182.3900604248047,184.73231506347656,181.89292907714844,183.07839965820312,3825954,121.82086181640625,0.0,0.0
182.58126831054688,185.67877197265625,182.13192749023438,184.75143432617188,1958740,122.93411254882812,0.0,0.0
185.93690490722656,186.5774383544922,183.89100646972656,186.35755920410156,2516048,124.00282287597656,0.0,0.0
186.9980926513672,187.170166015625,186.05162048339844,186.4053497314453,3083085,124.03459930419922,0.0,0.0
183.44168090820312,184.32122802734375,182.3900604248047,182.88719177246094,5443593,121.69365692138672,0.0,0.0
183.08795166015625,184.92352294921875,182.85850524902344,183.79541015625,4071032,122.29793548583984,0.0,0.0
185.2581329345703,185.5736083984375,184.1395721435547,184.32122802734375,4369665,122.6478500366211,0.0,0.0
184.579345703125,185.181640625,183.1644287109375,183.62332153320312,4701456,122.18345642089844,0.0,0.0
183.9579315185547,186.31930541992188,183.25047302246094,185.46844482421875,5935736,123.41119384765625,0.0,0.0
185.50669860839844,186.02294921875,184.2064971923828,185.32504272460938,3917584,123.31576538085938,0.0,0.0
186.1567840576172,186.31930541992188,184.54110717773438,185.9942626953125,7184346,123.76111602783203,0.0,0.0
189.55067443847656,192.10325622558594,187.37094116210938,189.28298950195312,8779496,125.9494400024414,0.0,0.0
189.2064971923828,189.28298950195312,184.7418670654297,185.0286865234375,7319490,123.11858367919922,0.0,0.0
184.89483642578125,187.1797332763672,184.78012084960938,185.5544891357422,3554308,123.4684829711914,0.0,0.0
185.66921997070312,187.7915802001953,185.56405639648438,186.4053497314453,2995535,124.03459930419922,0.0,0.0
187.33270263671875,188.62332153320312,187.2466583251953,187.9636688232422,3093963,125.07157135009766,0.0,0.0
187.66729736328125,189.13002014160156,187.05545043945312,188.54684448242188,3152958,125.4596176147461,0.0,0.0
187.94454956054688,188.69024658203125,186.42446899414062,188.67112731933594,2599415,125.54228973388672,0.0,0.0
188.1739959716797,188.51815795898438,186.93116760253906,187.58126831054688,2210930,124.81712341308594,0.0,0.0
188.32696533203125,189.13002014160156,187.1988525390625,187.3900604248047,2785707,124.68981170654297,0.0,0.0
185.93690490722656,188.25047302246094,185.93690490722656,186.46270751953125,3985260,124.07274627685547,0.0,0.0
188.0019073486328,188.49903869628906,186.81643676757812,187.1988525390625,3010074,124.56269073486328,0.0,0.0
186.90248107910156,186.90248107910156,184.72274780273438,186.5774383544922,4052204,124.1491928100586,0.0,0.0
186.5774383544922,187.26577758789062,185.8030548095703,186.90248107910156,2605481,124.36542510986328,0.0,0.0
183.8049774169922,184.04397583007812,181.90248107910156,182.5908203125,6211671,121.49640655517578,0.0,0.0
181.26194763183594,181.5774383544922,179.78012084960938,180.26768493652344,4081178,120.55023956298828,0.908222,0.0
181.11854553222656,181.52008056640625,178.57553100585938,179.66539001464844,4756790,120.14747619628906,0.0,0.0
179.73231506347656,180.84129333496094,178.7762908935547,179.5602264404297,3399082,120.07716369628906,0.0,0.0
178.7476043701172,181.2237091064453,178.67112731933594,180.77438354492188,3165719,120.88911437988281,0.0,0.0
181.20458984375,181.63479614257812,179.31166076660156,180.13385009765625,3705873,120.46070861816406,0.0,0.0
180.28680419921875,180.6214141845703,179.06309509277344,179.28298950195312,3025346,119.89173889160156,0.0,0.0
178.04014587402344,178.7762908935547,177.29444885253906,177.6195068359375,3862250,118.7793197631836,0.0,0.0
177.3804931640625,178.26004028320312,177.18930053710938,177.18930053710938,3584014,118.4916000366211,0.0,0.0
177.1510467529297,178.29827880859375,175.88909912109375,176.12811279296875,3398349,117.78199005126953,0.0,0.0
176.26194763183594,177.46653747558594,175.11471557617188,176.44358825683594,3261219,117.992919921875,0.0,0.0
176.5487518310547,178.36520385742188,176.1759033203125,176.73040771484375,3714346,118.18477630615234,0.0,0.0
177.48565673828125,178.0592803955078,176.14723205566406,177.04588317871094,2462598,118.39575958251953,0.0,0.0
177.18930053710938,177.5717010498047,176.45315551757812,177.26577758789062,2398164,118.54280090332031,0.0,0.0
177.12237548828125,178.7762908935547,176.55831909179688,176.6156768798828,2270238,118.10801696777344,0.0,0.0
175.5544891357422,176.38623046875,174.54110717773438,174.70362854003906,3337472,116.82940673828125,0.0,0.0
174.64627075195312,175.4015350341797,173.13575744628906,174.14913940429688,4162243,116.45857238769531,0.0,0.0
173.9579315185547,175.6214141845703,173.46080017089844,174.6080322265625,3118021,116.76546478271484,0.0,0.0
174.71319580078125,174.94264221191406,173.52772521972656,174.25430297851562,2856626,116.52890014648438,0.0,0.0
175.5544891357422,176.21414184570312,174.48374938964844,175.86997985839844,3647611,117.609375,0.0,0.0
175.50669860839844,176.08985900878906,174.29254150390625,175.07647705078125,2717403,117.07872772216797,0.0,0.0
175.28680419921875,176.86424255371094,175.0191192626953,176.05162048339844,2999510,117.73079681396484,0.0,0.0
176.52963256835938,176.8546905517578,174.61758422851562,174.9808807373047,3037061,117.01480865478516,0.0,0.0
